date,nominal_rate,expected_inflation,real_rate_approx,real_rate_exact,formula_difference,negative_real_rate
2018-10-01,2.25,2.21216657,0.03783343000000006,0.03701460527605338,0.0008188247239466762,False
2018-11-01,2.33,2.16701625,0.16298374999999998,0.15952677878072752,0.0034569712192724644,False
2018-12-01,2.37,1.98107002,0.3889299800000001,0.3813746805399587,0.007555299460041409,False
2019-01-01,2.37,1.8039584,0.5660416000000001,0.5560113858991134,0.01003021410088678,False
2019-02-01,2.39,1.78943106,0.60056894,0.5900110981522211,0.01055784184777897,False
2019-03-01,2.4,1.37532429,1.02467571,1.010774285731264,0.013901424268735862,False
2019-04-01,2.38,2.0373803,0.34261969999999975,0.3357786126933826,0.006841087306617144,False
2019-05-01,2.35,2.18513987,0.1648601300000001,0.16133474026629457,0.0035253897337055307,False
2019-06-01,2.17,1.60914045,0.56085955,0.5519774574571867,0.008882092542813247,False
2019-07-01,2.1,1.74765616,0.3523438400000001,0.34629184916643574,0.006051990833564336,False
2019-08-01,1.95,1.71433646,0.23566354,0.2316915669922981,0.003971973007701912,False
2019-09-01,1.89,1.64492794,0.24507205999999981,0.24110603939300201,0.0039660206069978,False
2019-10-01,1.65,1.72460183,-0.07460182999999998,-0.0733370577598147,-0.0012647722401852857,True
2019-11-01,1.54,1.69729979,-0.15729978999999994,-0.15467450003570082,-0.0026252899642991157,True
2019-12-01,1.54,1.70378442,-0.16378442000000004,-0.16104063475517183,-0.002743785244828212,True
2020-01-01,1.52,1.79710932,-0.2771093199999999,-0.2722172779276888,-0.004892042072311087,True
2020-02-01,1.52,1.64596366,-0.12596366000000003,-0.12392391735429609,-0.002039742645703946,True
2020-03-01,0.29,0.98707392,-0.69707392,-0.6902605382469118,-0.00681338175308821,True
2020-04-01,0.14,-0.05035367,0.19035367000000003,0.19044956834717297,-9.589834717294021e-05,False
2020-05-01,0.13,-0.21879037,0.34879037,0.349555163034565,-0.0007647930345650034,False
2020-06-01,0.16,0.51275711,-0.35275711,-0.3509575502082307,-0.0017995597917692674,True
2020-07-01,0.13,1.57200144,-1.4420014399999999,-1.4196839872765543,-0.02231745272344554,True
2020-08-01,0.1,1.67677177,-1.57677177,-1.550768914621703,-0.02600285537829694,True
2020-09-01,0.11,1.5827644,-1.4727644,-1.4498172093454054,-0.022947190654594607,True
2020-10-01,0.1,1.39703767,-1.29703767,-1.2791672220457295,-0.017870447954270396,True
2020-11-01,0.09,1.42002946,-1.33002946,-1.3114070929397315,-0.01862236706026854,True
2020-12-01,0.09,1.64952129,-1.55952129,-1.5342141017573363,-0.025307188242663647,True
2021-01-01,0.08,1.4460926,-1.3660926,-1.346619238836999,-0.019473361163000913,True
2021-02-01,0.04,1.67548668,-1.6354866799999999,-1.6085358756602885,-0.02695080433971131,True
2021-03-01,0.03,1.51383809,-1.4838380899999999,-1.4617101647604658,-0.022127925239534108,True
2021-04-01,0.02,1.75471736,-1.7347173599999999,-1.704802887774437,-0.02991447222556287,True
2021-05-01,0.02,1.86820734,-1.84820734,-1.8143122258265865,-0.03389511417341362,True
2021-06-01,0.04,2.05518859,-2.01518859,-1.9746066984363653,-0.0405818915636349,True
2021-07-01,0.05,2.07311612,-2.02311612,-1.9820264109715047,-0.0410897090284954,True
2021-08-01,0.05,2.46241259,-2.41241259,-2.3544366456148103,-0.05797594438518994,True
2021-09-01,0.04,2.68413713,-2.64413713,-2.5750200604524487,-0.06911706954755115,True
2021-10-01,0.05,1.85436755,-1.80436755,-1.7715171115408879,-0.032850438459112175,True
2021-11-01,0.05,2.4798405,-2.4298405,-2.371042429559611,-0.05879807044038898,True
2021-12-01,0.06,2.62030861,-2.56030861,-2.4949336487870566,-0.06537496121294328,True
2022-01-01,0.15,2.24175848,-2.09175848,-2.045894467287712,-0.045864012712288016,True
2022-02-01,0.33,2.62741883,-2.29741883,-2.2386013954083794,-0.058817434591620366,True
2022-03-01,0.44,3.05769883,-2.61769883,-2.54003229231623,-0.07766653768377019,True
2022-04-01,0.76,3.39290341,-2.63290341,-2.5465030221265117,-0.08640038787348825,True
2022-05-01,0.98,3.63465785,-2.65465785,-2.561554122021914,-0.09310372797808597,True
2022-06-01,1.49,4.22671337,-2.7367133699999995,-2.6257312367557906,-0.11098213324420891,True
2022-07-01,2.23,3.3092777,-1.0792777,-1.0447054940545764,-0.03457220594542365,True
2022-08-01,2.63,3.37713165,-0.74713165,-0.7227242989576554,-0.024407351042344594,True
2022-09-01,3.13,4.17914969,-1.0491496900000001,-1.0070630189648155,-0.0420866710351846,True
2022-10-01,3.72,2.88195932,0.8380406800000002,0.8145652411161608,0.023475438883839406,False
2022-11-01,4.15,3.23904839,0.9109516100000001,0.8823711804846868,0.028580429515313366,False
2022-12-01,4.25,2.86811918,1.3818808200000001,1.3433518868775751,0.038528933122425,False
2023-01-01,4.54,2.6790161,1.8609839,1.8124286448046645,0.048555255195335434,False
2023-02-01,4.65,2.61308946,2.0369105400000005,1.9850396774127033,0.05187086258729723,False
2023-03-01,4.69,2.07325087,2.6167491300000005,2.5635992855098433,0.05314984449015725,False
2023-04-01,4.92,2.65083257,2.26916743,2.210568948335201,0.058598481664799085,False
2023-05-01,5.14,2.65363857,2.4863614299999997,2.4220879694434982,0.0642734605565014,False
2023-06-01,5.16,1.36626254,3.79373746,3.742603668062605,0.05113379193739487,False
2023-07-01,5.25,2.47431653,2.77568347,2.708662583943555,0.06702088605644496,False
2023-08-01,5.3,2.60696893,2.69303107,2.6246083458884906,0.0684227241115094,False
2023-09-01,5.32,2.81243484,2.5075651600000004,2.438970698342424,0.06859446165757621,False
2023-10-01,5.34,2.76957367,2.5704263299999996,2.5011549996828863,0.0692713303171133,False
2023-11-01,5.27,2.7911957,2.4788042999999997,2.4114947619001237,0.06730953809987605,False
2023-12-01,5.24,3.09166499,2.1483350100000003,2.083907569257315,0.06442744074268525,False
2024-01-01,5.22,2.41863256,2.80136744,2.7352126951693867,0.06615474483061323,False
2024-02-01,5.24,2.42832804,2.8116719600000004,2.745014014972491,0.06665794502750932,False
2024-03-01,5.24,2.08221333,3.15778667,3.093375982936286,0.064410687063714,False
2024-04-01,5.24,2.70436687,2.5356331300000003,2.468865937520981,0.06676719247901941,False
2024-05-01,5.25,2.93566763,2.31433237,2.2483289060880374,0.06600346391196243,False
2024-06-01,5.24,2.7258402,2.5141598000000003,2.4474463242209588,0.06671347577904152,False
2024-07-01,5.2,2.55564431,2.6443556900000003,2.5784594380849457,0.06589625191505455,False
2024-08-01,5.05,2.3470594,2.7029406,2.6409557986773136,0.061984801322686245,False
2024-09-01,4.72,2.23612091,2.48387909,2.429551383494477,0.054327706505522766,False
